Image,Source,Type,CX,CY,X_min,Y_min,W,H,Area
379.tif,Total,black,371,464,349,439,45,49,1828.0
379.tif,Total,black,444,394,411,371,66,47,2231.5
379.tif,Total,black,416,315,398,291,38,49,1358.0
379.tif,Total,black,436,22,412,2,56,47,1875.5
379.tif,Total,black,92,234,60,192,59,84,2721.0
379.tif,Total,black,21,303,0,274,44,55,1526.5
379.tif,Total,black,22,546,0,508,51,66,2179.0
379.tif,Total,white,515,199,503,184,24,29,447.0
379.tif,Total,white,276,484,258,453,37,57,1348.5
379.tif,Total,white,114,535,88,507,54,58,2030.0
379.tif,Total,white,511,403,488,382,46,42,1312.5
396.tif,Total,white,239,554,202,523,77,52,2819.0
396.tif,Total,black,432,101,401,68,60,70,2507.0
396.tif,Total,black,384,195,363,182,40,24,640.5
396.tif,Total,black,463,11,440,0,49,30,966.5
396.tif,Total,black,129,293,115,282,31,28,457.0
396.tif,Total,black,186,554,164,532,48,43,1508.5
396.tif,Total,black,489,259,466,221,41,65,1672.5
115.tif,Total,white,255,137,210,69,86,144,6702.0
115.tif,Total,black,354,212,308,173,95,97,6666.0
400.tif,Total,white,71,34,23,0,98,85,5997.5
400.tif,Total,white,53,266,38,213,37,115,2642.0
400.tif,Total,black,380,351,330,281,106,140,9531.5
400.tif,Total,black,311,511,272,472,77,74,3478.5
400.tif,Total,black,290,15,267,0,46,40,1301.0
400.tif,Total,black,198,244,165,192,64,100,4178.0
284.tif,Total,black,203,153,164,140,77,27,1077.5
284.tif,Total,black,507,258,485,243,40,30,618.0
284.tif,Total,black,422,182,381,169,84,27,991.0
284.tif,Total,black,410,133,397,114,28,42,721.5
284.tif,Total,black,548,174,534,166,31,17,295.5
284.tif,Total,black,521,157,501,145,47,22,407.5
284.tif,Total,black,473,124,459,103,26,45,415.0
284.tif,Total,black,477,398,450,382,65,33,1010.0
284.tif,Total,black,234,428,221,422,29,14,182.5
284.tif,Total,black,122,282,94,274,62,16,440.5
284.tif,Total,black,15,520,1,506,44,28,335.0
284.tif,Total,black,243,28,223,16,44,25,889.0
284.tif,Total,black,387,7,368,1,34,14,329.5
284.tif,Total,black,192,355,182,348,21,17,228.5
284.tif,Total,black,135,417,123,411,26,13,203.5
284.tif,Total,black,6,429,0,416,15,27,272.0
284.tif,Total,white,550,265,525,240,50,53,1677.0
284.tif,Total,white,173,407,158,398,29,19,414.0
142.tif,Total,white,241,11,224,0,38,26,808.0
142.tif,Total,white,410,92,390,72,42,39,1092.5
142.tif,Total,white,469,344,448,327,47,33,929.5
142.tif,Total,white,562,410,544,386,31,44,1038.5
142.tif,Total,white,250,476,226,462,45,29,988.5
142.tif,Total,black,360,399,340,367,43,56,1536.5
142.tif,Total,black,298,63,282,47,32,32,734.5
142.tif,Total,black,533,219,515,200,36,36,953.0
142.tif,Total,black,466,404,434,379,68,50,2020.0
142.tif,Total,white,87,63,70,49,36,28,778.5
142.tif,Total,white,51,204,40,192,22,24,353.5
142.tif,Total,white,6,242,0,229,17,29,369.0
292.tif,Total,black,246,92,215,34,73,138,3838.5
292.tif,Total,black,558,148,544,120,26,56,1108.0
292.tif,Total,black,564,445,553,403,22,85,1240.5
292.tif,Total,white,426,406,388,335,75,144,5675.5
292.tif,Total,white,59,63,39,16,38,78,1543.5
338.tif,Total,black,213,320,196,289,38,69,1653.5
338.tif,Total,black,63,343,46,324,34,38,838.5
338.tif,Total,black,486,291,455,255,62,68,3048.5
338.tif,Total,black,204,194,187,178,33,31,704.0
338.tif,Total,black,122,115,110,102,25,28,489.0
338.tif,Total,white,148,524,131,502,36,46,1110.0
338.tif,Total,white,277,505,256,475,41,58,1705.5
338.tif,Total,white,499,495,487,482,23,29,464.5
338.tif,Total,white,568,424,557,396,18,58,628.0
338.tif,Total,white,424,307,410,291,28,32,687.0
338.tif,Total,white,459,373,444,362,31,27,480.0
338.tif,Total,white,390,163,376,153,30,21,465.5
338.tif,Total,white,346,208,331,194,30,30,590.5
338.tif,Total,white,218,138,206,113,28,55,1020.5
338.tif,Total,white,254,112,238,102,33,22,476.0
338.tif,Total,white,563,90,549,61,26,49,874.0
338.tif,Total,white,138,294,121,270,34,52,1135.5
338.tif,Total,white,40,228,25,213,30,32,672.0
338.tif,Total,white,305,330,294,321,23,19,314.5
154.tif,Total,black,561,148,524,0,51,297,6418.5
154.tif,Total,black,558,505,524,417,51,158,4884.5
380.tif,Total,black,371,465,349,439,45,50,1841.5
380.tif,Total,black,445,396,416,374,62,45,1983.5
380.tif,Total,black,306,350,282,299,44,92,2242.0
380.tif,Total,black,436,22,413,0,48,49,1914.5
380.tif,Total,black,92,233,65,200,54,68,2192.0
380.tif,Total,black,23,541,0,502,56,73,2875.0
380.tif,Total,white,285,480,258,447,59,65,2414.5
