Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.4124257975816727,0.0,0.0,0.0,0.0,0.0,0.4895385073290931,0.5025989459620581
2,0.2649333131313324,0.0,0.0,0.0,0.0,0.0,0.3233939399321874,0.352531232436498
3,0.2165526935458183,0.0,0.0,0.0,0.0,0.0,0.246107428934839,0.2697779724995295
4,0.1774149657785892,0.0,0.0,0.0,0.0,0.0,0.1955307841300964,0.2104902148246765
5,0.1682768319547176,0.0,0.0,0.0,0.0,0.0,0.1721428498625755,0.1819450515839788
6,0.1699185644090175,0.0,0.0,0.0,0.0,0.0,0.1654240808553166,0.1676742333504888
7,0.160531265437603,0.0,0.0,0.0,0.0,0.0,0.1611109409067365,0.162337209449874
8,0.1608493384718895,0.0,0.0,0.0,0.0,0.0,0.1659628300203217,0.1640393281976382
9,0.1733259598910808,0.0,0.0,0.0,0.0,0.0,0.1716333161625597,0.1583301736248864
10,0.1691298684477806,0.0,0.0,0.0,0.0,0.0,0.1745016073187192,0.1705094372232755
11,0.1675791100412607,0.0,0.0,0.0,0.0,0.0,0.1754049132267634,0.1653654505809148
12,0.1701848548650741,0.0,0.0,0.0,0.0,0.0,0.1734315840734376,0.1658391247193018
13,0.1725831106305122,0.0,0.0,0.0,0.0,0.0,0.1760118729538387,0.1736917239096429
14,0.173775680810213,0.0,0.0,0.0,0.0,0.0,0.1733269304864936,0.1696216003762351
15,0.1735646127164364,0.0,0.0,0.0,0.0,0.0,0.1743653431534767,0.1691744241449568
16,0.1715176470577716,0.0,0.0,0.0,0.0,0.0,0.1748852373825179,0.1730207658476299
17,0.1763124223053455,0.0,0.0,0.0,0.0,0.0,0.1774513189163473,0.170613709754414
18,0.1697212362289428,0.0,0.0,0.0,0.0,0.0,0.1726363630758391,0.1691880383425288
19,0.1754929012060165,0.0,0.0,0.0,0.0,0.0,0.1724921405315399,0.167331090900633
20,0.1718532374501228,0.0,0.0,0.0,0.0,0.0,0.1759607238901986,0.1713913064036104
21,0.1740047178417444,0.0,0.0,0.0,0.0,0.0,0.1755228141943613,0.1684432113336192
22,0.1723492217063904,0.0,0.0,0.0,0.0,0.0,0.1713930368423462,0.1673978758354981
23,0.1767043524980545,0.0,0.0,0.0,0.0,0.0,0.1757335325082143,0.1699841994378302
24,0.1701414959877729,0.0,0.0,0.0,0.0,0.0,0.1757351984580357,0.1735808982617325
25,0.1753739747405052,0.0,0.0,0.0,0.0,0.0,0.1723820546434985,0.1700550528864065
26,0.1747842539846897,0.0,0.0,0.0,0.0,0.0,0.1771123765243424,0.1692320132421122
27,0.1668563340604305,0.0,0.0,0.0,0.0,0.0,0.1708089167873064,0.1653213772508833
28,0.1716099895536899,0.0,0.0,0.0,0.0,0.0,0.1788929613100157,0.1717688173883491
29,0.1706595073640346,0.0,0.0,0.0,0.0,0.0,0.1712994664079613,0.1663457975619369
30,0.1685637860000133,0.0,0.0,0.0,0.0,0.0,0.1763832053376568,0.1730332988831732
31,0.1690126817673444,0.0,0.0,0.0,0.0,0.0,0.1772843637400203,0.1722836545772022
32,0.1717993732541799,0.0,0.0,0.0,0.0,0.0,0.1715999441014395,0.1707281443807813
33,0.1737636261433363,0.0,0.0,0.0,0.0,0.0,0.1727501167191399,0.1684962381919225
34,0.1711602530628442,0.0,0.0,0.0,0.0,0.0,0.1724890183243486,0.1684792090621259
35,0.1720496465265751,0.0,0.0,0.0,0.0,0.0,0.171512269311481,0.1666621757050355
36,0.1736206003278494,0.0,0.0,0.0,0.0,0.0,0.17517088179787,0.1709088938931624
37,0.1708258220553398,0.0,0.0,0.0,0.0,0.0,0.176464223033852,0.168265647523933
38,0.169030163064599,0.0,0.0,0.0,0.0,0.0,0.1718635854621728,0.1681785250703494
39,0.1674713711440563,0.0,0.0,0.0,0.0,0.0,0.1728302218019962,0.1633194778528478
40,0.1707594954967498,0.0,0.0,0.0,0.0,0.0,0.1727099216646618,0.1675913888547155
41,0.1637640991806984,0.0,0.0,0.0,0.0,0.0,0.172073612610499,0.1675815938247574
