Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.8830233132839203,0.0,0.0,0.0,0.0,0.0,0.8933907005521986,0.8995506564776102
2,0.8354712331295013,0.0,0.0,0.0,0.0,0.0,0.8604302114910549,0.8672047946188185
3,0.798673415184021,0.0,0.0,0.0,0.0,0.0,0.8297208375400967,0.8370587348937988
4,0.7440637469291687,0.0,0.0,0.0,0.0,0.0,0.7850702948040432,0.7940900762875874
5,0.7036025595664978,0.0,0.0,0.0,0.0,0.0,0.7312005347675747,0.7463187297185262
6,0.6655635249614715,0.0,0.0,0.0,0.0,0.0,0.6842400007777744,0.7011145618226793
7,0.6338224935531617,0.0,0.0,0.0,0.0,0.0,0.6444755421744452,0.6637315763367547
8,0.6279846119880677,0.0,0.0,0.0,0.0,0.0,0.6191239502694872,0.6366395129097833
9,0.5930287998914718,0.0,0.0,0.0,0.0,0.0,0.5903086768256294,0.5987331019507514
10,0.582617501616478,0.0,0.0,0.0,0.0,0.0,0.5927178468969133,0.5889366587003072
11,0.5634764790534973,0.0,0.0,0.0,0.0,0.0,0.5818284591039021,0.5830272184477912
12,0.560394828915596,0.0,0.0,0.0,0.0,0.0,0.573292053408093,0.5692670345306396
13,0.5586623406410217,0.0,0.0,0.0,0.0,0.0,0.5762561778227488,0.5661616934670343
14,0.5499261003732682,0.0,0.0,0.0,0.0,0.0,0.5623441709412469,0.5592409743203057
15,0.5435383355617524,0.0,0.0,0.0,0.0,0.0,0.5597311675548553,0.5484695825311873
16,0.5367166382074356,0.0,0.0,0.0,0.0,0.0,0.5514965520964729,0.5451938562923008
17,0.5340275442600251,0.0,0.0,0.0,0.0,0.0,0.5573561277654436,0.546078446176317
18,0.5340040576457977,0.0,0.0,0.0,0.0,0.0,0.5469723999500274,0.5424712697664896
19,0.5315345430374145,0.0,0.0,0.0,0.0,0.0,0.5413537528779772,0.5335732976595561
20,0.5363969773054122,0.0,0.0,0.0,0.0,0.0,0.5417650322119395,0.5298179950979021
21,0.532540717124939,0.0,0.0,0.0,0.0,0.0,0.5438529577520158,0.5287950343555874
22,0.5215214985609055,0.0,0.0,0.0,0.0,0.0,0.5345384962028927,0.5210003038247426
23,0.5108756458759308,0.0,0.0,0.0,0.0,0.0,0.5301391853226556,0.5110310071044498
24,0.5144804787635803,0.0,0.0,0.0,0.0,0.0,0.5349310126569536,0.5206520577271779
25,0.513244423866272,0.0,0.0,0.0,0.0,0.0,0.5365536444716983,0.5204214513301849
26,0.5162803643941879,0.0,0.0,0.0,0.0,0.0,0.5278074542681376,0.5123027788268195
27,0.5117526036500931,0.0,0.0,0.0,0.0,0.0,0.521940098868476,0.5158146248923408
28,0.5141495048999787,0.0,0.0,0.0,0.0,0.0,0.5264705022176107,0.5204825063546499
29,0.5141286414861679,0.0,0.0,0.0,0.0,0.0,0.5221832513809204,0.5113457130061255
30,0.5033819949626923,0.0,0.0,0.0,0.0,0.0,0.5261819303035736,0.5128564490212335
31,0.5042999559640884,0.0,0.0,0.0,0.0,0.0,0.5152390466796027,0.4993289570013682
32,0.5029212284088135,0.0,0.0,0.0,0.0,0.0,0.521473460064994,0.5050702869892121
33,0.4980645298957825,0.0,0.0,0.0,0.0,0.0,0.5177954177061717,0.5020712223317888
34,0.5044760829210282,0.0,0.0,0.0,0.0,0.0,0.527467370695538,0.5071313056680892
35,0.5041941565275192,0.0,0.0,0.0,0.0,0.0,0.5072371562321981,0.4954536543952094
36,0.4971955263614654,0.0,0.0,0.0,0.0,0.0,0.5193211085266537,0.5014741672409906
37,0.4966523659229278,0.0,0.0,0.0,0.0,0.0,0.5060019062625037,0.4973896112706926
38,0.4948607152700424,0.0,0.0,0.0,0.0,0.0,0.5126032915380266,0.4985718137688107
39,0.4937171530723572,0.0,0.0,0.0,0.0,0.0,0.5021518078115251,0.4856864591439565
40,0.5064957869052887,0.0,0.0,0.0,0.0,0.0,0.5059240672323438,0.4897498945395152
41,0.4880861341953277,0.0,0.0,0.0,0.0,0.0,0.5014402879609002,0.4861840499771966
