Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
2,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
3,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
4,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
5,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
6,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
7,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
8,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
9,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
10,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
11,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
12,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
13,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
14,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
15,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
16,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
17,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
18,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
19,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
20,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
21,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
22,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
23,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
24,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
25,0.0003,0.0003,0.0003,0.00015,0.0003,0.0003,0.0003,0.0003
26,0.0003,0.0003,0.0003,0.00015,0.0003,0.0003,0.0003,0.0003
27,0.0003,0.0003,0.0003,0.00015,0.0003,0.0003,0.0003,0.0003
28,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
29,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
30,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
31,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
32,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
33,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
34,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
35,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
36,0.0003,0.0003,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
37,0.0003,0.00015,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
38,0.0003,0.00015,0.00015,0.00015,0.0003,0.0003,0.0003,0.0003
39,0.0003,0.00015,0.00015,0.00015,0.00015,0.0003,0.0003,0.0003
40,0.0003,0.00015,0.00015,0.00015,0.00015,0.0003,0.0003,0.0003
41,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
42,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
43,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
44,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
45,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
46,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.0003
47,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.00015
48,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.00015
49,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.00015
50,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.00015
51,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.0003,0.0003,0.00015
52,0.0003,0.00015,0.00015,7.5e-05,0.00015,0.00015,0.0003,0.00015
53,0.0003,7.5e-05,7.5e-05,7.5e-05,0.00015,0.00015,0.0003,0.00015
54,0.0003,7.5e-05,7.5e-05,7.5e-05,0.00015,0.00015,0.0003,0.00015
55,0.0003,7.5e-05,7.5e-05,7.5e-05,7.5e-05,0.00015,0.0003,0.00015
56,0.0003,7.5e-05,7.5e-05,7.5e-05,7.5e-05,0.00015,0.0003,0.00015
57,0.0003,7.5e-05,7.5e-05,3.75e-05,7.5e-05,0.00015,0.0003,0.00015
58,0.0003,7.5e-05,7.5e-05,3.75e-05,7.5e-05,0.00015,0.0003,0.00015
