Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.6403229463100434,0.6226894279321035,0.5370621667967902,0.4094649367862277,0.430814089708858,0.7910100380579631,0.6714289598994785,0.6066097882058885
2,0.5492756927013397,0.380973133775923,0.3179245329565472,0.2422630723979738,0.2020946241087383,0.6729121685028077,0.6111542781194051,0.5416173497835796
3,0.489787078499794,0.2718533744414647,0.2260168592135111,0.1804033453265826,0.1478823640280299,0.4700876388284895,0.5707385685708788,0.4927574508719974
4,0.4275877118110657,0.2174505780140559,0.1816400604115592,0.1533384256892734,0.1109371960990958,0.3022017591529422,0.5254916071891784,0.4369606018066406
5,0.3653819715976715,0.1858191773295402,0.1640995197825961,0.1567648690607812,0.1059435971081256,0.2468139340480168,0.4780295822355482,0.385403307278951
6,0.3117313033342361,0.1671039006776279,0.1565969298283259,0.1609965638154082,0.1016816920704311,0.2261143593324555,0.430607392390569,0.335455322265625
7,0.2739356175065041,0.1596330334742864,0.1563236153788036,0.1627369042899873,0.1077460882564385,0.2159255555934376,0.3845625360806783,0.2909925384653939
8,0.2320427599549293,0.157167582710584,0.154414141509268,0.1627331152558326,0.1089122172858979,0.2141161791152424,0.3439700848526424,0.2540344268083572
9,0.2077233040332794,0.1583374051584137,0.155027028090424,0.1651473376486036,0.1093715438412295,0.2133853996793429,0.3025909821192423,0.2149867124027676
10,0.1884592247009277,0.1587948862049314,0.1599093159039815,0.1691877597735988,0.1114247157755825,0.2173835752738846,0.2702818860610326,0.1865424873100386
11,0.1777803328633308,0.1620070662763383,0.1581813491053051,0.1642262619402673,0.1113688709007369,0.2198460918333795,0.2434768385357326,0.1693179599112934
12,0.1677012585103511,0.1618439462449815,0.1577323834929201,0.1668427558408843,0.1136730843947993,0.2182341027590963,0.2190422174003389,0.1583016427026854
13,0.1670860503613948,0.1624976085291968,0.1609071364005406,0.1640354461140102,0.1203689172036118,0.2205733640326393,0.2029922624429067,0.1621381852361891
14,0.159608566313982,0.1619256734848022,0.1596767178012265,0.1664884154995282,0.1116653963095612,0.2256674086054166,0.1868313812547259,0.1570253377159436
15,0.1591474555432796,0.1624893611503972,0.1579403867324193,0.1591883255375756,0.1130609971781571,0.2240341115329,0.1756036236882209,0.1589012058244811
16,0.1566310204565525,0.161891596019268,0.157240653451946,0.1628200902707046,0.1143864311277866,0.2265149854951434,0.1667238197392887,0.1624616757035255
17,0.1584442868828773,0.1578834497266345,0.1520824705561002,0.1503057248062557,0.1107756607234478,0.2226636329458819,0.1628544484575589,0.1636216456691424
18,0.1602500206232071,0.1585574364496602,0.1539518772727913,0.1638375833630561,0.115928527381685,0.2259951992167367,0.1571169813474019,0.1619590977827708
