Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.9038158512115478,0.9171878245141772,0.9020377304818896,0.9035902632607354,0.9464815828535292,0.8959782123565674,0.9065904127226936,0.9073862526151868
2,0.8904421770572662,0.9011633356412252,0.869193270471361,0.8344822525978088,0.9003423266940647,0.8880683382352194,0.8993586540222168,0.8946986635526021
3,0.8849680519104004,0.8726469079653422,0.821070749229855,0.7465860936376784,0.7887186818652683,0.8706739703814189,0.8960309147834777,0.8866322980986701
4,0.8765401256084442,0.8237823433346219,0.7575310746828715,0.6500822080506219,0.6827685793240865,0.8243246144718595,0.8925019436412387,0.8766275511847602
5,0.8654506933689118,0.7688341471883986,0.6924657848146226,0.5836264140076107,0.5595293561617534,0.7869714816411336,0.8891952474912007,0.8690026972028945
6,0.851766163110733,0.7073519746462504,0.6268895983695983,0.5416644844743941,0.4923803885777791,0.7423638343811035,0.8849172512690227,0.8578835990693834
7,0.8346849584579468,0.6543712947103713,0.5881944245762295,0.5224226428402795,0.4585636761453416,0.7097783962885539,0.8762580619917976,0.8436089290512933
8,0.812952665090561,0.6049216085010105,0.5407214476002588,0.4992402076721191,0.4369144519170125,0.6787377066082425,0.8691053721639845,0.8276102423667908
9,0.7836464631557465,0.5699056598875257,0.5181817875968086,0.4927341130044725,0.431767295466529,0.6522869560453627,0.8572578469912211,0.7983398728900486
10,0.7512964391708374,0.5448490944173601,0.5120445231596629,0.4920086118910047,0.4272975034183926,0.6489833924505446,0.8443439152505663,0.7623053471247355
11,0.7239213955402374,0.5298597051037682,0.4864039036962721,0.4804807861646016,0.4131296197573343,0.6293202718098958,0.8288620471954345,0.7186382611592611
12,0.6918654239177704,0.5099156412813398,0.4683327111932966,0.4790583617157406,0.4110432704289754,0.6133433845308092,0.8109047280417548,0.6767909367879231
13,0.6662109911441803,0.5038008319007026,0.4689554174741109,0.4723585883776346,0.4075403796301948,0.6105585032039218,0.7936413844426473,0.6484439293543498
14,0.6381452739238739,0.4850703199704488,0.4551696982648637,0.4746625622113545,0.4043720285097757,0.6110643280877007,0.7674632165167067,0.6129364530245464
15,0.6109710621833802,0.480989220407274,0.4371604118082258,0.4666261984242333,0.4049669583638509,0.5916540039910211,0.7435816142294142,0.5901990089151594
16,0.5907293885946274,0.4629897740152147,0.4178112122747633,0.4522328641679551,0.3976687643263075,0.5693277729882135,0.7137722121344672,0.5694460676776039
17,0.5846270835399627,0.4522644817829132,0.4017842789491018,0.4508745617336697,0.3807731045616997,0.5803839988178677,0.6896513899167379,0.5604050358136495
18,0.5773894339799881,0.4410190277629428,0.3996555732356177,0.4518330322371588,0.3879958166016473,0.572552125983768,0.6580266780323453,0.556023633480072
19,0.5615879499912262,0.4332643383079105,0.3927036371495989,0.4357538700103759,0.3794627136654324,0.5581812156571282,0.6328799512651232,0.5400500867101882
20,0.5578159070014954,0.4250923567348056,0.3808973809083303,0.4214534209834205,0.3727559685707092,0.5534830689430237,0.6135212143262228,0.5329389009210799
21,0.550193834900856,0.4275028275118934,0.3914602339267731,0.4465009543630812,0.3575843731562296,0.5480215999815199,0.5989906072616578,0.5312663694222768
22,0.5369241935014725,0.4202157232496473,0.3732369833522372,0.4349346425798204,0.364095139503479,0.5451107872856988,0.5763561652766334,0.5233567323949602
23,0.5234032362699509,0.4104076352384355,0.3708149115244547,0.4329616400930616,0.3457253588570488,0.5416582451926337,0.5656932632128397,0.5134859124819438
24,0.5238564318418503,0.3973945783244239,0.359321086274253,0.4087846497694651,0.3496629357337951,0.5279912617471483,0.5611702130900489,0.52125689652231
25,0.5223919439315796,0.398860682381524,0.35899940861596,0.412016091744105,0.3500888069470723,0.5262165480189853,0.5564208699597253,0.5200130025545756
26,0.5239109092950821,0.3897085229555765,0.3463173449039459,0.3727693074279361,0.3361138502756755,0.5223150240050422,0.5443962958123949,0.5106742633713617
27,0.5165359008312226,0.3830214990509881,0.3434166663222843,0.3566384335358937,0.3352075801955329,0.539557507303026,0.5343246757984161,0.513068304459254
