Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,0.1506593738123774,0.0678308412018749,0.1406073718021313,0.1163926571607589,0.0152164953851347,0.1018800613780816,0.1065155929575363,0.1399591073600782
2,0.2375740863382816,0.1551542649666468,0.2830371800396177,0.2648804270558887,0.1906849066080111,0.2159250216351615,0.1850619521405961,0.2268928754660818
3,0.2827991962432861,0.2165467677844895,0.3097613526715173,0.3192537357409795,0.3368043760458628,0.1975895265738169,0.2273320923248926,0.2577721340788735
4,0.30804068505764,0.2816892829206254,0.3307137466139264,0.3568820344077216,0.3789938122034073,0.2477910816669464,0.2507121553023656,0.2774489227268431
5,0.3257606509327888,0.3108046730359395,0.3444183538357416,0.371805543369717,0.4166081693437364,0.2585659368170632,0.2640868422057894,0.2872460722923279
6,0.3404910877346992,0.337854716512892,0.366490845547782,0.3842715786563025,0.4405166685581207,0.2671502388185925,0.2807221843136681,0.300929836432139
7,0.39446557700634,0.3503124425808588,0.3719263997342851,0.3918750299347771,0.4480747401714325,0.2759923911756939,0.2850261151790619,0.3074212359057532
8,0.4017263266444206,0.3658360944853888,0.4008981201383803,0.4104403396447499,0.4577532814608679,0.2944569064511193,0.3021592060724894,0.3173449907037947
9,0.4937384167313575,0.3781847569677565,0.4024082190460629,0.4081989811526404,0.4591071463293499,0.3047243148088455,0.3094166149695714,0.3255918224652608
10,0.5657061615586281,0.3928425172964732,0.4064912405278947,0.414159435696072,0.4593770556979709,0.3066927750905355,0.3078399635023541,0.3304973324139913
11,0.5785747522115707,0.3974580340915256,0.4287301242351532,0.4197193364302317,0.4703135702345106,0.3174694269895554,0.3192729082372453,0.3375162435902489
12,0.5760579174757003,0.4140334328015645,0.4456316596931881,0.4273970014519161,0.4764872637059953,0.3281807972325219,0.3290346331066555,0.3469237267971038
13,0.5833830434083939,0.4151932014359368,0.4456209950976901,0.4306822326448228,0.4761618064509498,0.3308912144766913,0.3260721378856235,0.3466508766015371
14,0.5924785923957824,0.4301701870229509,0.4551909069220225,0.4261374076207478,0.482465355263816,0.3249324738979339,0.3389088961813185,0.355909714433882
15,0.5920939552783966,0.4302927249007754,0.4712754468123118,0.4384490258163876,0.4784946925110287,0.3408272819386588,0.3405733565489451,0.3618338747156991
16,0.6007252693176269,0.4408827993604872,0.4900558047824436,0.4422723372777303,0.4858164250850677,0.3485045866833793,0.3499810612863964,0.3641784919632805
17,0.6008813816308975,0.4568467848830753,0.5070426570044624,0.4477730214595795,0.5016343573729197,0.3524268968237771,0.3500526116953956,0.3711624953481886
18,0.6046377927064895,0.4678699745072259,0.505109973748525,0.4433880627155304,0.4916283084286584,0.3525113417042626,0.3639423264397515,0.3692277438110775
19,0.6072966039180755,0.4722833096981048,0.5167656573984358,0.4605609536170959,0.5072951515515646,0.3647205902470483,0.3587926314936744,0.3731444564130571
20,0.6046934181451797,0.4736267076598273,0.5174877206484477,0.4630863169829051,0.5040427810615964,0.3683668295542399,0.3603087299399906,0.3775128960609436
21,0.6085973685979843,0.4789797100755903,0.5156072881486681,0.4388579759332869,0.5254621922969818,0.3774042043421003,0.3632077919112311,0.3800760600301954
22,0.6124000060558319,0.4822267134984334,0.5284847736358642,0.447595966524548,0.512271601623959,0.375382653872172,0.3733008093304104,0.3818582508299086
23,0.6225440192222595,0.4896665937370724,0.530280018515057,0.4430646432770623,0.51942178606987,0.3797972334755791,0.3734670692019992,0.3890887664424048
24,0.618821781873703,0.5002080539862315,0.5392790423499213,0.4502494408024682,0.5284646994537777,0.3860163436995612,0.3722250448332893,0.3788375278313954
25,0.6215351605415345,0.5098625500996907,0.555460645755132,0.4716070777840084,0.5327651706006792,0.3943560017479791,0.3728471742735968,0.3851254940032959
26,0.6208252722024917,0.5140004283852048,0.5621032436688741,0.4949436525503794,0.5352758692370521,0.3990312721994188,0.3828128192159865,0.3948038392596774
27,0.6235654258728027,0.5170180724726783,0.5649781286716461,0.4959800316227807,0.5321225086847942,0.3795185426870981,0.3860617140928904,0.3922821998596191
28,0.6224892818927765,0.5131660673353408,0.5755859421359169,0.5034561958577898,0.557711660861969,0.3890951931476593,0.3855566475126478,0.3932615141073862
29,0.6264626371860504,0.5284369899166955,0.5938328550921546,0.5122332519955105,0.5491374168131087,0.4037958721319834,0.3867808010843065,0.3922269956933127
30,0.6285266488790512,0.5492864469687144,0.61155586971177,0.518110285864936,0.5675621966520945,0.4024976644251081,0.3809669613838196,0.3926456570625305
31,0.6352983337640762,0.53971542318662,0.6182706170611911,0.5357012212276459,0.5724052859677209,0.422169518801901,0.3889430599080192,0.3986324608325958
32,0.6322954058647156,0.5404492378234863,0.6173323286904229,0.5315905683570438,0.5790607147746616,0.3891399049096637,0.3870512545108795,0.3962028430567847
33,0.6352963840961456,0.5522206981976827,0.6239872164196438,0.5264769527647231,0.5992976155545976,0.3810577856169806,0.3917987551954057,0.4066438290807936
34,0.6341059881448746,0.546372213628557,0.6235074712170495,0.5299736817677816,0.5850737399525112,0.3710112502177556,0.386058618625005,0.4028089642524719
35,0.6382156580686569,0.5610986020829942,0.635158728228675,0.5480155136850146,0.5813143498367733,0.3723321315315034,0.3994433535469903,0.4060329417387644
36,0.6382238912582398,0.5612820042504205,0.6317822297414144,0.5473063151041667,0.5860667082998487,0.385897163550059,0.3931629081567128,0.4049153433905707
37,0.6355478245019913,0.5661813994248708,0.6440985831949446,0.5578580478827159,0.5980125976933374,0.3982981562614441,0.3993768208556705,0.4080580241150326
38,0.6362775135040283,0.5796491662661235,0.6353653404447768,0.5567135592301686,0.5945643650160896,0.4011282410886552,0.3984782887829675,0.4067366858323415
39,0.6426352262496948,0.5993681715594398,0.6452406697803074,0.5693522784445021,0.5866992950439454,0.4142648339271545,0.4016850153605143,0.4147794995043012
40,0.6284155392646789,0.6085569898287455,0.6521152754624685,0.579353529214859,0.6088131215837267,0.3839639368984434,0.40435175564554,0.4132381518681844
41,0.6482280427217483,0.6185325695408715,0.6455750346183777,0.5809365656640795,0.6176667173703512,0.4050075425042046,0.4032645795080397,0.4179536912176344
42,0.6462935882806778,0.6141627669334412,0.6305299626456367,0.5650984227657319,0.6171247041887707,0.4356176098187764,0.4046113100316789,0.414372413025962
43,0.6458446758985519,0.6189840356508891,0.6322600338194105,0.586501235432095,0.6224936445554098,0.4049856126308441,0.4031158957216474,0.4164391259352366
44,0.6516490769386291,0.6238661951488919,0.6250701738728417,0.5946595913834042,0.6331682092613644,0.3981626570224762,0.4063729650444455,0.4227543294429779
45,0.6496361136436463,0.6141416781478458,0.6274217559231652,0.5963025192419688,0.5899382809797923,0.4032324522733688,0.4026443501313527,0.4129789623949262
46,0.6492008113861084,0.6251917017830743,0.6391913758383857,0.6106101850668589,0.5591789894633823,0.4472303933567471,0.4054989523357815,0.4215409358342488
47,0.6553209590911865,0.6346370630794101,0.6441230350070529,0.6134230136871338,0.5810136980480618,0.4598746332857344,0.406835314962599,0.425934495528539
48,0.6554302185773849,0.6393950859705607,0.6448029359181722,0.621585386329227,0.6137401978174846,0.4113434314727783,0.4122851298915015,0.4312675462828742
49,0.656702572107315,0.6184972643852233,0.6342800246344672,0.6165162748760648,0.6455084906684028,0.4079783005846871,0.4065817150804731,0.4313428660233815
50,0.6536194121837616,0.6185700999365913,0.6400237970881992,0.6177119546466403,0.6542812791135576,0.4003099772665235,0.4060555848810407,0.4367860443062252
51,0.6565252768993378,0.6125896486971113,0.6109643956025441,0.6167659441630046,0.6660169468985664,0.3713268286652035,0.4075349006387923,0.4381235222021739
