Epoch,Ours (AFMBWNetV2_Full),Baseline (U-Net),Structure (U-Net++),Attention (TransUNet),Dual-Exp (White),Dual-Exp (Black),Ablation (w/o ASPP),Ablation (w/o AG)
1,2.0623184609413148,1.5398772716522218,1.439099899927775,1.3130552079942492,1.3772956742180718,1.6869882451163398,2.1311910735236275,2.074855910407172
2,1.8798797011375428,1.2821364747153388,1.1871178097195096,1.0767453167173595,1.1024369584189522,1.560980505413479,1.984042602115207,1.9242104371388753
3,1.7808455872535705,1.1445002873738608,1.0470876084433662,0.9269894361495972,0.93660104142295,1.3407616164949203,1.8971007929907904,1.82212442557017
4,1.672719328403473,1.0412329249911838,0.9391711380746628,0.803420635064443,0.7937057786517673,1.126526383558909,1.810233998298645,1.7154202779134116
5,1.5795844388008118,0.9546533253457812,0.8565653059217665,0.7403912822405497,0.6654729518625472,1.033785421318478,1.7285621960957844,1.6257115205128987
6,1.497690303325653,0.8744558731714884,0.783486529191335,0.7026610480414497,0.594062077999115,0.9684781922234428,1.655390281147427,1.5408544407950506
7,1.4263621020317077,0.8140043298403422,0.7445180455843607,0.6851595441500345,0.5663097626633115,0.925703948073917,1.5830551968680489,1.4650289800431993
8,1.3605290126800538,0.7620891888936361,0.6951355947388543,0.6619733247492049,0.5458266701963213,0.8928538852267796,1.527110187212626,1.4019162204530504
9,1.2979116892814635,0.7282430662049187,0.6732088155216641,0.6578814539644453,0.5411388403839535,0.8656723618507385,1.46462562084198,1.31615190770891
10,1.2404546165466308,0.7036439802911546,0.6719538397259183,0.6611963709195455,0.5387222230434418,0.8663669692145454,1.421513589223226,1.252626281314426
11,1.194123966693878,0.6918667707178328,0.6445852511458927,0.6447070446279314,0.5244984924793243,0.8491663628154331,1.3752322435379027,1.1873133036825392
12,1.1517985653877258,0.6717595855394999,0.6260650906297895,0.6459011177221934,0.5247163527541691,0.8315774838129679,1.3286364105012682,1.1291350563367208
13,1.1257952380180358,0.6662984397676256,0.6298625535435147,0.6363940371407403,0.527909294101927,0.8311318649186028,1.2975408792495728,1.1065234978993734
14,1.0872345554828644,0.6469959941175248,0.6148464130030737,0.6411509758896298,0.5160374270545112,0.8367317345407274,1.248563043276469,1.0615068316459657
15,1.0569596946239472,0.6434785770045386,0.5951007975472344,0.6258145252863566,0.5180279566182031,0.8156881226433648,1.2128238519032797,1.0361578265825908
16,1.0306541287899018,0.6248813682132297,0.5750518679618836,0.6150529536936018,0.5120551976892683,0.7958427627881368,1.1710487604141235,1.0191936002837287
17,1.0272073602676393,0.6101479258802202,0.5538667506641812,0.6011802838908301,0.4915487637122472,0.8030476305219862,1.1464288234710691,1.010703558391995
18,1.0191295802593232,0.5995764626397027,0.5536074452930027,0.6156706147723727,0.5039243446456061,0.7985473248693679,1.1029871808158027,1.0026464700698852
19,1.0073322451114657,0.5939263516002231,0.5482963614993626,0.5890731301572588,0.4912694301870134,0.7754648301336501,1.0735905991660224,0.984994121392568
20,1.0028591775894165,0.585159322950575,0.5313294980261061,0.5558510588275062,0.4841124872366587,0.7746246794859568,1.0571874856948853,0.9819318307770624
21,0.9968721544742584,0.5860946092340681,0.5442024356789059,0.5960419370068444,0.4655554350879457,0.7629128866725498,1.0427054272757637,0.9746224761009216
22,0.9779497015476228,0.5799889067808787,0.5240323762098948,0.5776556650797526,0.4742349035210079,0.760348152452045,1.015931064552731,0.9667893528938294
23,0.9638789653778076,0.5708330068323347,0.5217845016055637,0.5866981691784329,0.4556701163450877,0.7621289445294275,1.0083386752340529,0.9556460486518012
24,0.9622798085212708,0.5559257441096835,0.5073491255442302,0.5453721278243595,0.4599196347925398,0.7426042728953891,1.0085399217075772,0.9719605180952284
25,0.9650724625587463,0.5579187870025635,0.5090224577320946,0.5561055527793036,0.4587570859326256,0.739004906018575,1.0011782765388488,0.9655304087532892
26,0.9692374622821808,0.544854591290156,0.4926401389969719,0.4937977115313212,0.4441666298442416,0.7222568035125733,0.9912785463862948,0.9537032511499192
27,0.9524110686779024,0.5328632129563226,0.4817418767346276,0.4627990537219577,0.4421737008624606,0.7363808353741964,0.9749465094672308,0.9520110607147216
28,0.9689955341815948,0.5392222364743551,0.4713738567299313,0.4744246727890439,0.4371381938457489,0.7398959994316101,0.9890527036454942,0.9658295141326056
29,0.9567461836338044,0.5235300534301334,0.4527660340070724,0.4621385239892536,0.4371067504088083,0.720504531595442,0.9740407135751512,0.94813338915507
30,0.9419933569431304,0.5078914900620778,0.4412777039739821,0.4518470813830693,0.4189868834283616,0.7208569884300232,0.9820493989520602,0.956899246904585
31,0.9438679802417757,0.5124579389890035,0.4261304895083109,0.4190809792942471,0.4238309840361277,0.6643387973308563,0.968266917599572,0.9377667956882052
32,0.939944031238556,0.5132415824466281,0.4310672495100233,0.4409244053893619,0.4070004284381866,0.7392067280080583,0.9678821020656162,0.9464533633655972
33,0.93679541349411,0.507458488146464,0.4236447721719741,0.4358843015299903,0.3919117232163747,0.7270967377556695,0.9650349259376526,0.9352143738004896
34,0.941296362876892,0.5092927118142446,0.4224769767787721,0.4291902111636267,0.3989727603064643,0.7453969551457299,0.9740578956074184,0.9422271887461344
35,0.9415975630283356,0.4946526388327281,0.4151735421684053,0.4224460658099916,0.403602648112509,0.7536843895912171,0.9487897369596692,0.9256658567322624
36,0.9348280692100523,0.4966910640398661,0.4105525967147615,0.4316386954651938,0.3958149625195397,0.7157052324877845,0.9656055291493734,0.9364132894410028
37,0.9343944704532624,0.4915632618798149,0.4055457962883843,0.4155760675668716,0.3837554653485616,0.6803262160884009,0.9529004785749648,0.9286754581663345
38,0.931834968328476,0.4715589536560906,0.3972921719153722,0.3880167898204592,0.3859422286351522,0.6394220603836908,0.951185655593872,0.9287799994150796
39,0.9232011532783508,0.4539338956276575,0.4025635778903961,0.4106515334712134,0.393790692753262,0.6341178437074025,0.9395437664455838,0.9084702968597412
40,0.9469478583335876,0.4422306064102385,0.3824221130874422,0.3659954140583674,0.3663174682193332,0.6674546917279561,0.9432172762023078,0.9187339928415088
41,0.9103816223144532,0.4313380652003818,0.3956028252840042,0.348163863685396,0.3220866388744778,0.5721746626827452,0.9386331518491108,0.9107149534755284
42,0.912453042268753,0.4370858030186759,0.3793755773040983,0.3759274846977657,0.321862158841557,0.5041191054715051,0.940460889869266,0.917855503824022
43,0.9130138051509856,0.4154816094372007,0.3727237595452202,0.3425125731362237,0.3307252907090717,0.5818743609719806,0.9344143311182658,0.906443554825253
44,0.9108250224590302,0.4150514284769694,0.402109326587783,0.3377370834350586,0.2631093816624747,0.6389830105834537,0.9423825131522284,0.9100243502193028
