Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,GT,Black,1,270,162,246,137,49,50,1352.5
4.tif,GT,Black,2,277,88,258,66,43,46,1323.5
4.tif,GT,Black,3,102,548,84,525,43,50,1387.5
4.tif,GT,Black,4,422,133,407,110,34,47,1014.0
4.tif,GT,Black,5,397,280,376,264,44,34,923.5
4.tif,GT,Black,6,124,197,109,178,31,41,785.5
4.tif,GT,Black,7,507,232,488,203,42,56,1287.0
4.tif,GT,Black,8,313,332,290,313,48,37,1131.0
4.tif,GT,White,1,327,246,309,225,41,43,1078.5
4.tif,GT,White,2,154,349,129,331,52,41,1357.5
4.tif,GT,White,3,191,133,176,114,33,38,870.0
4.tif,GT,White,4,255,351,238,322,38,59,1547.0
4.tif,GT,White,5,134,383,116,371,35,26,531.5
4.tif,GT,White,6,77,74,57,47,45,52,1428.5
4.tif,GT,White,7,172,187,157,162,32,54,1089.0
4.tif,GT,White,8,327,446,313,430,29,32,577.5
4.tif,GT,White,9,190,544,163,503,54,73,2629.5
4.tif,GT,White,10,98,432,66,410,65,41,1494.5
4.tif,GT,White,11,63,540,48,526,32,30,683.5
4.tif,GT,White,12,546,147,535,131,24,34,509.0
4.tif,Pred,Black,1,101,548,81,524,45,52,1655.0
4.tif,Pred,Black,2,298,543,281,517,34,57,1095.5
4.tif,Pred,Black,3,397,445,353,413,84,68,2758.5
4.tif,Pred,Black,4,417,383,388,345,61,73,2474.5
4.tif,Pred,Black,5,73,353,49,336,45,37,899.5
4.tif,Pred,Black,6,302,327,290,316,30,23,436.5
4.tif,Pred,Black,7,205,337,181,316,46,45,1238.5
4.tif,Pred,Black,8,156,298,140,283,34,30,718.5
4.tif,Pred,Black,9,476,295,451,272,55,46,1627.5
4.tif,Pred,Black,10,397,278,377,260,42,37,998.0
4.tif,Pred,Black,11,507,230,484,202,47,60,1796.0
4.tif,Pred,Black,12,75,217,55,196,43,46,1287.0
4.tif,Pred,Black,13,34,142,16,119,37,47,1177.0
4.tif,Pred,Black,14,423,135,407,111,35,47,1111.5
4.tif,Pred,Black,15,178,74,169,67,22,17,251.5
4.tif,Pred,Black,16,273,122,244,56,62,134,5048.0
4.tif,Pred,White,1,202,520,196,512,14,17,148.5
4.tif,Pred,White,2,150,359,118,329,76,69,2870.0
4.tif,Pred,White,3,256,353,242,327,33,53,1232.5
4.tif,Pred,White,4,328,246,310,224,41,43,1059.0
4.tif,Pred,White,5,171,185,158,162,29,50,940.5
4.tif,Pred,White,6,546,148,537,138,19,21,289.5
4.tif,Pred,White,7,190,131,174,109,34,43,965.5
4.tif,Pred,White,8,77,73,56,46,46,53,1543.0
