Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,GT,Black,1,270,162,246,137,49,50,1352.5
4.tif,GT,Black,2,277,88,258,66,43,46,1323.5
4.tif,GT,Black,3,102,548,84,525,43,50,1387.5
4.tif,GT,Black,4,422,133,407,110,34,47,1014.0
4.tif,GT,Black,5,397,280,376,264,44,34,923.5
4.tif,GT,Black,6,124,197,109,178,31,41,785.5
4.tif,GT,Black,7,507,232,488,203,42,56,1287.0
4.tif,GT,Black,8,313,332,290,313,48,37,1131.0
4.tif,GT,White,1,327,246,309,225,41,43,1078.5
4.tif,GT,White,2,154,349,129,331,52,41,1357.5
4.tif,GT,White,3,191,133,176,114,33,38,870.0
4.tif,GT,White,4,255,351,238,322,38,59,1547.0
4.tif,GT,White,5,134,383,116,371,35,26,531.5
4.tif,GT,White,6,77,74,57,47,45,52,1428.5
4.tif,GT,White,7,172,187,157,162,32,54,1089.0
4.tif,GT,White,8,327,446,313,430,29,32,577.5
4.tif,GT,White,9,190,544,163,503,54,73,2629.5
4.tif,GT,White,10,98,432,66,410,65,41,1494.5
4.tif,GT,White,11,63,540,48,526,32,30,683.5
4.tif,GT,White,12,546,147,535,131,24,34,509.0
4.tif,Pred,Black,1,99,550,76,524,49,52,1655.0
4.tif,Pred,Black,2,243,447,230,438,29,19,413.5
4.tif,Pred,Black,3,398,446,353,413,89,72,2987.5
4.tif,Pred,Black,4,418,380,399,353,41,54,1267.5
4.tif,Pred,Black,5,74,354,52,335,43,38,1035.0
4.tif,Pred,Black,6,304,330,283,318,40,27,751.0
4.tif,Pred,Black,7,183,320,137,281,91,82,2652.0
4.tif,Pred,Black,8,397,278,376,260,44,39,1142.0
4.tif,Pred,Black,9,73,215,66,207,17,18,155.5
4.tif,Pred,Black,10,508,229,481,201,52,63,2120.0
4.tif,Pred,Black,11,35,143,18,124,34,40,930.0
4.tif,Pred,Black,12,423,135,405,111,38,49,1265.5
4.tif,Pred,Black,13,273,126,241,58,65,134,5793.0
4.tif,Pred,Black,14,187,8,166,0,41,22,648.0
4.tif,Pred,White,1,136,384,124,374,27,23,421.0
4.tif,Pred,White,2,154,349,130,334,51,36,1311.0
4.tif,Pred,White,3,256,351,241,324,35,55,1401.5
4.tif,Pred,White,4,330,247,310,224,43,45,1274.5
4.tif,Pred,White,5,173,187,159,161,32,54,1110.0
4.tif,Pred,White,6,546,146,535,133,23,29,463.0
4.tif,Pred,White,7,191,128,175,102,34,50,1113.5
4.tif,Pred,White,8,73,61,62,48,21,25,304.0
