Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,GT,Black,1,270,162,246,137,49,50,1352.5
4.tif,GT,Black,2,277,88,258,66,43,46,1323.5
4.tif,GT,Black,3,102,548,84,525,43,50,1387.5
4.tif,GT,Black,4,422,133,407,110,34,47,1014.0
4.tif,GT,Black,5,397,280,376,264,44,34,923.5
4.tif,GT,Black,6,124,197,109,178,31,41,785.5
4.tif,GT,Black,7,507,232,488,203,42,56,1287.0
4.tif,GT,Black,8,313,332,290,313,48,37,1131.0
4.tif,GT,White,1,327,246,309,225,41,43,1078.5
4.tif,GT,White,2,154,349,129,331,52,41,1357.5
4.tif,GT,White,3,191,133,176,114,33,38,870.0
4.tif,GT,White,4,255,351,238,322,38,59,1547.0
4.tif,GT,White,5,134,383,116,371,35,26,531.5
4.tif,GT,White,6,77,74,57,47,45,52,1428.5
4.tif,GT,White,7,172,187,157,162,32,54,1089.0
4.tif,GT,White,8,327,446,313,430,29,32,577.5
4.tif,GT,White,9,190,544,163,503,54,73,2629.5
4.tif,GT,White,10,98,432,66,410,65,41,1494.5
4.tif,GT,White,11,63,540,48,526,32,30,683.5
4.tif,GT,White,12,546,147,535,131,24,34,509.0
4.tif,Pred,Black,1,494,568,492,566,6,5,14.5
4.tif,Pred,Black,2,230,553,217,534,26,42,559.5
4.tif,Pred,Black,3,101,547,80,521,49,55,1959.0
4.tif,Pred,Black,4,296,540,269,504,54,72,2568.5
4.tif,Pred,Black,5,409,450,389,434,40,36,896.0
4.tif,Pred,Black,6,6,427,4,425,5,6,13.0
4.tif,Pred,Black,7,421,390,403,370,40,41,1073.0
4.tif,Pred,Black,8,67,353,33,327,65,55,2502.5
4.tif,Pred,Black,9,321,328,310,316,26,26,393.0
4.tif,Pred,Black,10,349,300,341,295,17,13,139.5
4.tif,Pred,Black,11,149,293,145,290,10,8,45.5
4.tif,Pred,Black,12,467,289,446,269,46,41,1298.5
4.tif,Pred,Black,13,397,279,376,261,46,38,1143.0
4.tif,Pred,Black,14,506,228,476,198,59,68,2443.5
4.tif,Pred,Black,15,75,219,54,198,43,49,1354.5
4.tif,Pred,Black,16,430,191,415,174,30,38,831.0
4.tif,Pred,Black,17,33,142,13,115,42,55,1504.5
4.tif,Pred,Black,18,419,131,394,99,52,64,1824.5
4.tif,Pred,Black,19,272,118,242,47,66,143,6201.5
4.tif,Pred,Black,20,344,53,333,38,26,31,504.0
4.tif,Pred,White,1,64,541,50,528,30,28,656.5
4.tif,Pred,White,2,135,382,122,368,30,30,617.5
4.tif,Pred,White,3,155,350,129,334,55,37,1463.0
4.tif,Pred,White,4,256,354,240,329,36,51,1292.5
4.tif,Pred,White,5,330,247,310,223,49,47,1287.0
4.tif,Pred,White,6,172,186,158,163,31,50,981.5
4.tif,Pred,White,7,548,148,536,132,26,34,597.0
4.tif,Pred,White,8,190,133,175,114,33,38,843.0
4.tif,Pred,White,9,73,77,59,58,28,40,787.0
4.tif,Pred,White,10,37,14,18,0,34,32,609.0
