Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,GT,Black,1,270,162,246,137,49,50,1352.5
4.tif,GT,Black,2,277,88,258,66,43,46,1323.5
4.tif,GT,Black,3,102,548,84,525,43,50,1387.5
4.tif,GT,Black,4,422,133,407,110,34,47,1014.0
4.tif,GT,Black,5,397,280,376,264,44,34,923.5
4.tif,GT,Black,6,124,197,109,178,31,41,785.5
4.tif,GT,Black,7,507,232,488,203,42,56,1287.0
4.tif,GT,Black,8,313,332,290,313,48,37,1131.0
4.tif,GT,White,1,327,246,309,225,41,43,1078.5
4.tif,GT,White,2,154,349,129,331,52,41,1357.5
4.tif,GT,White,3,191,133,176,114,33,38,870.0
4.tif,GT,White,4,255,351,238,322,38,59,1547.0
4.tif,GT,White,5,134,383,116,371,35,26,531.5
4.tif,GT,White,6,77,74,57,47,45,52,1428.5
4.tif,GT,White,7,172,187,157,162,32,54,1089.0
4.tif,GT,White,8,327,446,313,430,29,32,577.5
4.tif,GT,White,9,190,544,163,503,54,73,2629.5
4.tif,GT,White,10,98,432,66,410,65,41,1494.5
4.tif,GT,White,11,63,540,48,526,32,30,683.5
4.tif,GT,White,12,546,147,535,131,24,34,509.0
4.tif,Pred,Black,1,100,548,81,523,45,53,1680.0
4.tif,Pred,Black,2,408,448,388,430,41,38,860.5
4.tif,Pred,Black,3,422,388,403,364,39,48,1307.5
4.tif,Pred,Black,4,402,353,396,347,14,12,80.5
4.tif,Pred,Black,5,398,279,379,262,39,37,936.0
4.tif,Pred,Black,6,507,230,482,202,50,60,1909.0
4.tif,Pred,Black,7,425,189,415,179,22,22,327.5
4.tif,Pred,Black,8,36,137,34,136,6,5,17.5
4.tif,Pred,Black,9,31,145,23,135,20,20,145.0
4.tif,Pred,Black,10,422,134,405,110,37,49,1296.0
4.tif,Pred,Black,11,274,126,243,64,64,126,5032.0
4.tif,Pred,White,1,69,552,68,551,3,3,3.5
4.tif,Pred,White,2,61,546,58,543,11,9,40.0
4.tif,Pred,White,3,150,359,123,333,63,63,2352.5
4.tif,Pred,White,4,256,353,239,323,39,59,1673.5
4.tif,Pred,White,5,334,250,308,224,56,51,1804.0
4.tif,Pred,White,6,171,186,160,169,24,37,565.0
4.tif,Pred,White,7,549,152,539,140,19,25,291.0
4.tif,Pred,White,8,190,131,175,113,33,37,883.0
4.tif,Pred,White,9,70,73,57,49,27,45,862.0
