Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,Pred,Black,1,300,572,297,571,7,3,8.0
4.tif,Pred,Black,2,225,567,221,560,10,14,81.5
4.tif,Pred,Black,3,99,548,78,523,47,52,1696.0
4.tif,Pred,Black,4,408,449,392,430,34,37,744.5
4.tif,Pred,Black,5,416,377,390,349,56,54,1656.5
4.tif,Pred,Black,6,307,329,272,313,64,33,1269.5
4.tif,Pred,Black,7,476,284,466,276,25,17,231.0
4.tif,Pred,Black,8,397,279,379,264,38,33,873.0
4.tif,Pred,Black,9,273,264,261,258,25,17,273.0
4.tif,Pred,Black,10,506,229,479,200,52,64,2034.0
4.tif,Pred,Black,11,432,193,423,179,20,30,401.0
4.tif,Pred,Black,12,271,158,243,123,58,70,2484.0
4.tif,Pred,Black,13,33,141,15,121,37,43,1044.0
4.tif,Pred,Black,14,423,135,403,112,43,50,1450.0
4.tif,Pred,Black,15,276,90,250,65,55,56,2050.5
4.tif,Pred,White,1,149,359,126,332,57,65,2146.0
4.tif,Pred,White,2,254,352,236,326,38,54,1425.5
4.tif,Pred,White,3,328,248,309,224,42,48,1234.5
4.tif,Pred,White,4,190,132,175,114,33,38,888.0
4.tif,Pred,White,5,82,60,70,47,28,28,418.5
