Image,Source,Type,ID,CX,CY,X_min,Y_min,W,H,Area
4.tif,Pred,Black,1,100,549,81,525,44,51,1592.5
4.tif,Pred,Black,2,49,367,43,361,13,14,86.0
4.tif,Pred,Black,3,311,333,286,313,50,45,1476.0
4.tif,Pred,Black,4,398,279,378,262,40,35,956.5
4.tif,Pred,Black,5,507,232,482,203,51,61,1788.0
4.tif,Pred,Black,6,123,196,106,179,35,37,871.0
4.tif,Pred,Black,7,267,158,242,126,53,64,2027.5
4.tif,Pred,Black,8,422,134,405,109,38,49,1287.0
4.tif,Pred,Black,9,277,84,254,54,51,60,2127.0
4.tif,Pred,White,1,66,539,50,524,32,32,720.0
4.tif,Pred,White,2,193,539,169,501,46,75,2287.5
4.tif,Pred,White,3,329,447,314,432,30,31,659.5
4.tif,Pred,White,4,96,434,74,410,48,48,1530.5
4.tif,Pred,White,5,135,383,122,366,30,32,582.5
4.tif,Pred,White,6,155,349,129,334,53,34,1341.5
4.tif,Pred,White,7,255,352,237,323,41,58,1669.5
4.tif,Pred,White,8,328,247,310,224,40,46,1145.0
4.tif,Pred,White,9,172,187,157,162,33,53,1115.5
4.tif,Pred,White,10,547,148,535,131,26,36,638.5
4.tif,Pred,White,11,190,132,175,114,33,37,873.5
4.tif,Pred,White,12,77,73,56,46,46,53,1625.0
