Filename,EEDCF,ASDI,MMCSO_dB,PCE,Voc (V),Jsc (mA/cm^2),FF (%)
1.tif,52.13767049,23.27236388,0.930584042,0.0095,0.02128,7.88276,5.67478
2.tif,53.43612992,22.97867294,0.8871094,1.7125,0.48674,12.95564,27.08795
3.tif,54.84336027,28.47981024,1.23247695,2.0685,0.2843,24.6711,29.48482
4.tif,54.91426851,25.7709587,1.109937846,2.8187,0.68238,12.97514,31.75466
5.tif,54.97114183,24.90190921,1.054931079,4.3015,0.63127,25.47276,26.77721
6.tif,55.99631057,28.00836784,1.034824531,5.1831,0.76544,19.94713,33.99314
7.tif,57.71233949,23.10625639,1.059632124,5.532,0.85286,18.52377,35.04424
8.tif,57.16644792,24.44581378,1.037915919,6.7622,0.56562,21.48599,55.68631
9.tif,55.4984824,27.61801963,1.201187254,7.7855,0.7706,27.6195,36.60805
10.tif,57.52344145,34.53545972,1.369280341,8.6112,0.79915,25.46139,42.50851
11.tif,58.09971409,23.43018555,1.061452566,8.8086,0.04225,11.70842,25.20434
12.tif,55.63620013,25.9282836,1.063651212,9.6451,0.62614,26.23187,58.80612
13.tif,58.4877471,24.22010275,1.110380508,10.874,0.7822,27.17899,51.18908
14.tif,62.62880213,37.86424217,1.370761118,11.9893,0.82321,20.13187,72.66448
15.tif,61.19096878,37.11043764,1.322885249,12.831,0.83951,27.16944,56.24333
16.tif,59.37836202,23.76049731,1.06363403,13.6998,0.81855,27.46915,60.67262
17.tif,59.22054665,24.16758562,1.069941648,14.7613,0.82871,24.9001,71.85274
18.tif,65.864619,46.82047041,1.514592916,15.7366,0.83631,25.80693,72.87114
19.tif,67.26819114,58.13872096,1.994367453,16.3421,0.84806,26.45138,72.55158
20.tif,65.98239015,50.32024484,1.640035928,16.9396,0.84098,27.57151,73.15992
